L,a,b,ITA,skin_tone
75,15,25,42,light
72,14,24,40,light
70,13,23,38,light
68,12,22,36,light
66,11,21,34,light
64,10,20,32,light
62,9,19,30,light
60,8,18,28,medium
58,8,17,26,medium
56,7,16,24,medium
54,7,15,22,medium
52,6,14,20,medium
50,6,13,18,medium
48,5,12,16,medium
46,5,11,14,medium
44,5,10,12,dark
42,4,10,10,dark
40,4,9,8,dark
38,4,9,7,dark
36,3,8,6,dark
34,3,8,5,dark
32,3,7,4,dark
30,2,7,3,dark
78,16,26,45,light
74,15,25,43,light
69,13,22,37,light
65,11,21,33,light
61,10,19,29,medium
57,8,17,25,medium
53,7,15,21,medium
49,6,13,17,medium
45,5,11,13,dark
41,4,10,9,dark
37,3,9,7,dark
33,3,8,5,dark
76,15,26,44,light
73,14,24,41,light
67,12,22,35,light
63,10,20,31,light
59,9,18,27,medium
55,8,16,23,medium
51,7,14,19,medium
47,6,12,15,medium
43,5,11,12,dark
39,4,9,8,dark
35,3,8,6,dark
31,3,7,4,dark
